mz,rt,H2O_Mix1_150_450.mzXML,H2O_Mix10_150_450.mzXML,H2O_Mix11_150_450.mzXML,H2O_Mix12_150_450.mzXML,H2O_Mix2_150_450.mzXML,H2O_Mix3_150_450.mzXML,H2O_Mix4_150_450.mzXML,H2O_Mix5_150_450.mzXML,H2O_Mix6_150_450.mzXML,H2O_Mix7_150_450.mzXML,H2O_Mix8_150_450.mzXML,H2O_Mix9_150_450.mzXML,MeOH_2.mzXML,SampleID,ID,SMILES,Adducts,LOGP,formula,mserror,db,rtscore,msscore,allscore,Final
167.0564372,0.919735,39499.59766,2305.369629,2008.679443,1710.700684,100,100,100,100,5075323.5,22801.16016,34019.27344,100,1701.279541,9,553,CN1C2=C(NC=N2)C(=O)NC1=O,[M+H]+,-0.512,C6H6N4O2,0.458973508,STD,-0.637132224,-0.05266417,-0.689796394,
168.0437469,0.488623333,100,100,100,100,100,100,100,100,100,100,100,927845.0625,100,12,723,NC(N)=NCCS(O)(=O)=O,[M+H]+,-1.956,C3H9N3O3S,0.00028708,STD,-0.395779678,-2.06E-08,-0.395779698,
168.0654907,0.535813333,8819.286133,6411.84375,5749.089844,5697.532715,7217.467285,952118.1875,16302.6543,6869.863281,53262.28906,184459.7031,10391.5957,3792324.5,5987.252441,12,336,CC1=NC=C(CO)C(C=O)=C1O,[M+H]+,-0.754,C8H9NO3,-0.2229925,STD,-0.921661809,-0.012431414,-0.934093223,
168.1016947,0.529176667,5822.195801,5818.737305,3238.387939,4151.640625,897051.625,674696,3889.177979,12952.0791,5708.622559,3291.034668,4626.017578,24285.8125,3612.700928,5,564;594,CNCC(O)C1=CC=C(O)C=C1;COC1=C(O)C=CC(CCN)=C1,[M+H]+;[M+H]+,-0.404;-0.0580000000000001,C9H13NO2;C9H13NO2,-1.30252798066686;-1.30252798066686,STD;STD,-1.14238423897364;-1.37444894467915,-0.424144785105022;-0.424144785105022,-1.56652902407866;-1.79859372978417,
169.0493978,3.238616667,438493.6563,8664.706055,16144.57715,20800.13867,7739512.5,230084.4844,92110.53125,12635.37402,9410.073242,9562.338867,859577.9375,8984.467773,9023.361328,5,149;589;604;919;920;959,CC(=O)C1=C(O)C=C(C)OC1=O;COC1=C(O)C=CC(=C1)C(O)=O;COC1=CC(C(O)=O)=C(O)C=C1;OC(=O)CC1=C(O)C=CC(O)=C1;OC(=O)CC1=CC(O)=C(O)C=C1;OC(C(O)=O)C1=CC=C(O)C=C1,[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+,0.797;0.24;0.937;0.036;0.197;-0.873999999999999,C8H8O4;C8H8O4;C8H8O4;C8H8O4;C8H8O4;C8H8O4,-0.863141448000446;-0.863141448000446;-0.863141448000446;-0.863141448000446;-0.863141448000446;-0.863141448000446,STD;STD;STD;STD;STD;STD,-0.0505868493861491;-0.153354469077935;-0.0334957020404154;-0.204896323842521;-0.163598668956462;-0.525602617502234,-0.186253289814077;-0.186253289814077;-0.186253289814077;-0.186253289814077;-0.186253289814077;-0.186253289814077,-0.236840139200226;-0.339607758892012;-0.219748991854492;-0.391149613656598;-0.349851958770539;-0.711855907316311,
169.0858866,3.228016667,131238.9219,98287.57813,1860675.125,136660.5625,8807864,84232.61719,88595.11719,82900.26563,91667.10156,80287.36719,38356324,94883.4375,73824.39844,11,605;610,COC1=CC(C)=CC(OC)=C1O;COC1=CC(OC)=CC(OC)=C1,[M+H]+;[M+H]+,1.339;1.536,C9H12O3;C9H12O3,-0.252313370716604;-0.252313370716604,STD;STD,-0.00316370499206328;-7.33376965898027e-06,-0.0159155092605936;-0.0159155092605936,-0.0190792142526569;-0.0159228430302526,
169.0859884,3.77895,131238.9219,98287.57813,1860675.125,136660.5625,8807864,84232.61719,88595.11719,82900.26563,91667.10156,80287.36719,251249.0781,94883.4375,73824.39844,5,605;610,COC1=CC(C)=CC(OC)=C1O;COC1=CC(OC)=CC(OC)=C1,[M+H]+;[M+H]+,1.339;1.536,C9H12O3;C9H12O3,0.349305288715693;0.349305288715693,STD;STD,-0.153975163418355;-0.111183417963081,-0.0305035461811885;-0.0305035461811885,-0.184478709599544;-0.14168696414427,
170.0120544,0.473805,115407.2891,100,46781.86328,100,11348.61816,100,11599.38184,100,37535.64844,100,40485.89063,11660.01172,1079.739868,1,716,NC(CS(O)(=O)=O)C(O)=O,[M+H]+,-4.359,C3H7NO5S,1.626022107,STD,-0.006557548,-0.660986973,-0.667544521,
170.0810649,0.571388333,9778.279297,5791.353516,31620.86523,3926.954102,5103.0625,17909.29297,4765.21875,7563.715332,4375.943848,20720328,27127.79688,13608.71973,6121.447754,10,298;727,CC1=C(O)C(CO)=C(CO)C=N1;NC[C@H](O)C1=CC(O)=C(O)C=C1,[M+H]+;[M+H]+,-0.855;-0.714,C8H11NO3;C8H11NO3,-0.666387960798742;-0.666387960798742,STD;STD,-0.824646745037766;-0.903063975194611,-0.111018228574376;-0.111018228574376,-0.935664973612143;-1.01408220376899,
171.0288798,3.03295,19610.46875,11219.79004,91194.17188,5835.658203,14986.87891,5781468,136565.0625,43791.80859,23666.58203,19660.16211,12400.87207,12174.1543,23058.04688,6,880;887,OC(=O)C1=C(O)C(O)=C(O)C=C1;OC(=O)C1=CC(O)=C(O)C(O)=C1,[M+H]+;[M+H]+,1.125;0.696,C7H6O5;C7H6O5,0.418066422866336;0.418066422866336,STD;STD,-1.61299089509318e-06;-0.0168101831019311,-0.0436948834820635;-0.0436948834820635,-0.0436964964729586;-0.0605050665839947,
171.1376241,8.622933333,84343.49219,54785.5,113875.8828,5934726,61150.80469,110482.6016,1389225.5,55662.11328,115426.7578,114052.4609,1798919.125,110991.8906,55930.09766,4,194;278;408,CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C;CC\C=C/CCOC(=O)C(C)C;CCCCCC1CCCC(=O)O1,[M+H]+;[M+H]+;[M+H]+,1.559;2.759;3.102,C10H18O2;C10H18O2;C10H18O2,-1.99076727736437;-1.99076727736437;-1.99076727736437,STD;STD;STD,-10.7721583974413;-8.5438144800839;-7.95427834184712,-0.990788588156187;-0.990788588156187;-0.990788588156187,-11.7629469855975;-9.53460306824008;-8.94506693000331,
173.0600993,3.7875,592296.125,13732.99512,13914.55371,205773.0156,111704.625,7015.074219,83817.82031,23051.14453,12304.29492,594047.625,24455.24023,20504.5332,5769.429199,10,306,CC1=CC(=O)C2=CC=CC=C2C1=O,[M+H]+,0.673,C11H8O2,2.223411726,STD,-0.356317011,-1.235889925,-1.592206936,
173.0598043,3.236,26922.46484,5948.27832,27624.49414,205773.0156,111704.625,10165.01465,3434577.25,11188.28516,13594.64551,594047.625,52782.92578,20504.5332,11154.71973,7,306,CC1=CC(=O)C2=CC=CC=C2C1=O,[M+H]+,0.673,C11H8O2,0.518783662,STD,-0.067822396,-0.067284122,-0.135106518,
